NRA,NOMBRE,SCIAN,DESC_SCIAN,SECTOR,SUBSECTOR,ACTIVIDAD,PARQ_ IND,COORD_UTMX,COORD_UTMY,LAT_NORTE,lat1,lat2,lat3,lat,LON_OESTE,lon1,lon2,lon3,lon,CALLE,NUM_EXT,NUM_INT,COLONIA,LOCALIDAD,ESTADO,MUNICIPIO,CP
PRO5T1508811,"PROBIOMED, S.A DE C.V.,PROBIOMED S.A. DE C.V.",325411,Fabricación de materias primas para la industria farmacéutica,Quimica,Produccion de farmaceuticos y medicamentos,"FABRICACION DE MATERIAS PRIMAS PARA LA INDUSTRIA FARMACEUTICA, PRODUCTOS BIOTECNOLOGICOS",,437080.6926,2095748.218,"18°57'11""",18,57,11,18.95305556,"99°35'51""",99,35,51,-99.5975,Carretera CRUCE DE  ACTZINGO-ZUMPAHUACAN,S/N. , ,Colonia SHIPERES,TENANCINGO DE DEGOLLADO,MEXICO,Tenancingo,52400
PRO5V0901311,"PROBEMEX, S.A. DE C.V.,FULLER COSMETICS",325620,"Fabricación de cosméticos, perfumes y otras preparaciones de tocador",Quimica,"Produccion de perfumes, cosmeticos y similares a base de mezclas",ELABORACIÓN DE PRODUCTOS COSMÉTICOS,,488261.4921,2129242.557,"19°15'24""",19,15,24,19.25666667,"99°6'42""",99,6,42,-99.11166667,Calle REDENCION,17, ,Colonia JARDINES DEL SUR,XOCHIMILCO,DISTRITO FEDERAL,Xochimilco,16050
PRO830900611,"PROTTSA, S.A. DE C.V.,",332720,"Fabricación de tornillos, tuercas, remaches y similares",Metalurgica (incluye la siderurgica),Fundicion  y moldeo de piezas de hierro y acero,FABRICACIÓN DE TUERCAS Y TORNILLOS,,489547.3209,2144547.833,"19°23'42""",19,23,42,19.395,"99°5'58""",99,5,58,-99.09944444,Calle ORIENTE 233,NO. 91 , ,Colonia AGRÍCOLA ORIENTAL,IZTACALCO,DISTRITO FEDERAL,Iztacalco,8500
PRS5Q1605311,"PROCESADORA DE RESINAS LA SOLEDAD SA DE CV,LA SOLEDAD",325211,Fabricación de resinas sintéticas,Quimica,Produccion de resinas sinteticas,PRODUCCIÓN DE RESINAS SINTÉTICAS (INCLUYE PLASTIFICANTES),,276689.0709,2183642.285,"19°44'8""",19,44,8,19.73555556,"101°7'51""",101,7,51,-101.1308333,Calle PRIV. NORTE 10,289-A , ,Colonia CIUDAD INDUSTRIAL,MORELIA,MICHOACAN,Morelia,58200
PSI5T0901211,"PSICOFARMA SA DE CV,",325412,Fabricación de preparaciones farmacéuticas,Quimica,Produccion de farmaceuticos y medicamentos,PRODUCCIÓN DE FARMACÉUTICOS Y MEDICAMENTOS (NO INCLUYE EMPACADO Y/O ETIQUETADO).,,483799.0944,2133633.038,"19°17'47""",19,17,47,19.29638889,"99°9'15""",99,9,15,-99.15416667,Calle CALZADA DE TLALPAN,NO.4369 , ,Colonia TORIELLO GUERRA,TLALPAN,DISTRITO FEDERAL,Tlalpan,14050
PSL6E1102011,"Poliuretanos SW Leon SA de CV,",336390,Fabricación de otras partes para vehículos automotrices,Automotriz,Produccion de otras auto partes,Elaboración de productos de espuma de poliuretano y alambres para la industria automotriz,,232499.7312,2329728.801,"21°2'56""",21,2,56,21.04888889,"101°34'26""",101,34,26,-101.5738889,Boulevard Aeropuerto,2202, ,Colonia LOS LOPEZ,LEON DE LOS ALDAMA,GUANAJUATO,Leon,37157
PSM301401312,"PATRON SPIRITS MEXICO SA DE CV,HACIENDA PATRÓN",312142,Elaboración de bebidas destiladas de agave,Bebidas y tabaco,Colecta con fines de utilizacién de la biotecnología,PRODUCCION Y ENVASADO DE TEQUILA 100% Y LICORES,,755187.98,2271909.266,"20°31'43""",20,31,43,20.52861111,"102°33'9""",102,33,9,-102.5525,Calle KM 27 CARRETERA TOTOTLAN-ATOTONILCO PREDIO LAS CORRIENTES,SN , ,Colonia RANCHO EL NACIMIENTO,ATOTONILCO EL ALTO,JALISCO,Atotonilco el Alto,47750
PSM6D1510411,"PARKER SEAL DE MEXICO S.A. C.V.,PARKER SEAL DE MEXICO, S.A. C.V.",326220,Fabricación de bandas y mangueras de hule y de plástico,Quimica,Fabricacion de articulos y productos de hule ,"SELLOS DE HULE (AROSELLOS DE DISTINTAS FORMAS, TAPONES, Y CIERRES PARA USOS INDUSTRIALES)",,478397.6972,2161434.217,"19°32'51""",19,32,51,19.5475,"99°12'21""",99,12,21,-99.20583333,Calle RIO LERMA,221, ,Colonia FRACC. INDUSTRIAL SAN NICOLAS,TLALNEPANTLA,MEXICO,Tlalnepantla de Baz,54030
PSO8Z0200411,"POWER SONIC, S. DE R.L. DE C.V.,",335910,Fabricación de acumuladores y pilas,Metalurgica (incluye la siderurgica),Produccion de acumuladores y pilas electricas,Manufactura y ensamble de baterias,PARQUE INDUSTRIAL PACIFICO,501251.9073,3592281.214,"32°28'3""",32,28,3,32.4675,"116°59'12""",116,59,12,-116.9866667,Calle BLVD. PACIFICO,14553, ,,TIJUANA,BAJA CALIFORNIA,Tijuana,22643
PSWMV1512111,"Poliuretanos SW S.A. de C.V.,",326150,Fabricación de espumas y productos de uretano,Quimica,Produccion de hule sintetico,Fabricación de uretano moldeado,,480467.3045,2173405.575,"19°39'20""",19,39,20,19.65555556,"99°11'10""",99,11,10,-99.18611111,Calle LUIS PASTEUR No. 5,mz 2,Lote  7,Colonia FRACCIONAMIENTO INDUSTRIAL CUAMATLA,CUAUTITLAN IZCALLI,MEXICO,Cuautitlan Izcalli,54730
