NRA,NOMBRE,SECTOR,ESTADO,MUNICIPIO,SUSTANCIA,UNIDAD,AIRE,AGUA,SUELO,REUTILIZACION,RECICLADO,COPROCESAMIENTO,TRATAMIENTO,DISP_FINAL,ALCANTARILLADO,INCINERACION,OTROS,Comp_or_persist,Gases_Efecto_Invern,Hidrocarb_arom_y_alif,Metales,Organohalogenados,Sust_agot_del_ozono,Plaguicidas,Otras_sust_peligr,GRUPO
MME2803200124,Monroe Mexico.  S. de R.L. de C.V..  Planta 3,Automotriz,TAMAULIPAS,Reynosa,Xileno (mezcla de isomeros),Kg,19395.26532,0,0,0,0,0,0,0,0,0,0,,,1,,,,,,Hidrocarburos Aromaticos y Alifaticos
MME2803200124,Monroe Mexico.  S. de R.L. de C.V..  Planta 3,Automotriz,TAMAULIPAS,Reynosa,Cianuro inorganico/organico,Kg,0,0,0,0,0,0,0,0,0,0,54954,,,,,,,,1,Otras sustancias
MME5Q0502711,Metokote de Mexico S. de R.L de C.V. Metokote de Mexico S. de R. L. DE C.V. LINEA 5,Otros,COAHUILA,Ramos Arizpe,Cromo (compuestos),Kg,0,3.171516,0,0,0,0,0,0,0,0,0,,,,1,,,,,Metales
MME5U2803211,Metokote de Mexico S. de R.L de C.V. Metokote de Mexico.  S. de R.L. de C.V.,Otros,TAMAULIPAS,Reynosa,Estireno (fenil etileno),Kg,4671,0,0,0,0,0,0,4931.89,0,0,0,,,1,,,,,,Hidrocarburos Aromaticos y Alifaticos
MME7X2200511,MESSIER DOWTY MEXICO SA DE CV. MESSIER DOWTY MeXICO.  S.A. DE C.V.,Automotriz,QUERETARO,Colon,Cromo (compuestos),Kg,0,0,0,0,0,0.00192,0,210.94,0,0,0,,,,1,,,,,Metales
MME8L2201411,Mann Hummel Mexico S.A. de C.V.. ,Automotriz,QUERETARO,Queretaro,Bioxido de carbono,Kg,1071000,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,Gases de Efecto Invernadero
MME832201111,Manufacturas Metalicas.  S.A. de C.V.. MANUFACTURAS METALICAS SA DE CV,Quimica,QUERETARO,El Marques,Niquel (compuestos),Kg,0,54.347,0,0,0,0,0,0,0,0,0,,,,1,,,,,Metales
MME832201111,Manufacturas Metalicas.  S.A. de C.V.. MANUFACTURAS METALICAS SA DE CV,Quimica,QUERETARO,El Marques,Plomo (compuestos),Kg,0,3.168,0,0,0,0,0,0,0,0,0,,,,1,,,,,Metales
MME9K2803211,Monroe Mexico.  S. de R.L. de C.V.. Tenneco,Automotriz,TAMAULIPAS,Reynosa,Bioxido de carbono,Kg,2458565.07,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,Gases de Efecto Invernadero
MME9K2803211,Monroe Mexico.  S. de R.L. de C.V.. Tenneco,Automotriz,TAMAULIPAS,Reynosa,Niquel (polvos respirables.  humos o vapores),Kg,0,0,0,0,0,0,0,9.4,0,0,0,,,,1,,,,,Metales
MME9M0502711,MUBEA DE MEXICO S. DE R.L. DE C.V.. ,Automotriz,COAHUILA,Ramos Arizpe,Cromo (compuestos),Kg,0,2.7,0,1.86,0,0,0,0,0,0,1.8663,,,,1,,,,,Metales
MME9M1100711,Monroe Mexico.  S. de R.L. de C.V.. ,Automotriz,GUANAJUATO,Celaya,Cadmio (compuestos),Kg,0,0,0,0,0,0,0,0,7.9596,0,0,,,,1,,,,,Metales
MME9M1100711,Monroe Mexico.  S. de R.L. de C.V.. ,Automotriz,GUANAJUATO,Celaya,Plomo (compuestos),Kg,0,0,0,0,0,0,0,0,3.1838,0,0,,,,1,,,,,Metales
MMI7X2803213,MIRSA MANUFACTURA INSPECCION Y RETRABAJO S.A. DE C.V.. ,Equipos y articulos electronicos.  electricos y domesticos,TAMAULIPAS,Reynosa,Tolueno,Kg,0,0,0,0,27165.6,0,0,0,0,0,0,,,1,,,,,,Hidrocarburos Aromaticos y Alifaticos
MMI7X2803213,MIRSA MANUFACTURA INSPECCION Y RETRABAJO S.A. DE C.V.. ,Equipos y articulos electronicos.  electricos y domesticos,TAMAULIPAS,Reynosa,Xileno (mezcla de isomeros),Kg,0,0,0,0,1382.976,0,0,0,0,0,0,,,1,,,,,,Hidrocarburos Aromaticos y Alifaticos
MML1201700009,Minera Media Luna.  S.A. de C.V.. Proyecto Minero Morelos,Metalurgica (incluye la siderurgica),GUERRERO,Cocula,Oxido nitroso,Kg,725350,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,Gases de Efecto Invernadero
